SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3330 Caminito Eastbluff #149,La Jolla,CA,92037,1150000,3,2.5,La Jolla,1707,155945,1978,13,674,495,Active,,,https://www.redfin.com/CA/La-Jolla/3330-Caminito-Eastbluff-92037/unit-149/home/4884064,SDMLS,220022531,N,Y,32.8586874,-117.2316247
MLS Listing,,Single Family Residential,5640 Dugan Ave,La Mesa,CA,91942,759000,3,2.0,La Mesa,1018,6100,1958,27,746,,Active,,,https://www.redfin.com/CA/La-Mesa/5640-Dugan-Ave-91942/home/5603576,SDMLS,220021439,N,Y,32.7809823,-117.0201593
MLS Listing,,Townhouse,3422 Via Alicante,La Jolla,CA,92037,829900,2,2.5,La Jolla,1140,,1975,40,728,509,Active,,,https://www.redfin.com/CA/La-Jolla/3422-Via-Alicante-92037/home/4865706,SDMLS,220020482,N,Y,32.861255,-117.231921
MLS Listing,,Condo/Co-op,8437 Via Mallorca #85,La Jolla,CA,92037,875000,2,2.5,La Jolla,1074,103585,1977,42,815,400,Active,,,https://www.redfin.com/CA/La-Jolla/8437-Via-Mallorca-92037/unit-85/home/4882378,SDMLS,220020168,N,Y,32.859532,-117.233455
MLS Listing,,Single Family Residential,11393 Turtleback Ln,San Diego,CA,92127,1195000,4,3.0,Rancho Bernardo,2284,10259,1981,48,523,107,Active,,,https://www.redfin.com/CA/San-Diego/11393-Turtleback-Ln-92127/home/4623950,SDMLS,220019616,N,Y,33.0094742,-117.0836603
MLS Listing,,Condo/Co-op,3056 Via Alicante Unit M,La Jolla,CA,92037,579000,1,1.0,La Jolla,504,98435,1972,82,1149,300,Active,,,https://www.redfin.com/CA/La-Jolla/3056-Via-Alicante-92037/unit-M/home/4885684,SDMLS,220016258,N,Y,32.8624729,-117.2358693
MLS Listing,,Single Family Residential,11510 Duenda Rd,San Diego,CA,92127,1195000,3,2.0,Rancho Bernardo,1878,6700,2009,1,636,42,Active,September-16-2022 04:00 PM,September-16-2022 06:00 PM,https://www.redfin.com/CA/San-Diego/11510-Duenda-Rd-92127/home/6262888,SDMLS,220023540,N,Y,33.0344713,-117.0817756
MLS Listing,,Townhouse,8127 Caminito Sonoma,La Jolla,CA,92037,1095000,3,2.5,La Jolla,1416,,1978,1,773,380,Active,September-17-2022 12:00 PM,September-17-2022 04:00 PM,https://www.redfin.com/CA/La-Jolla/8127-Caminito-Sonoma-92037/home/4883241,SDMLS,220023504,N,Y,32.8539168,-117.2335453
MLS Listing,,Single Family Residential,8025 Entrada De Luz E,San Diego,CA,92127,4850000,4,4.5,Santaluz,5592,25700,2006,1,867,550,Active,,,https://www.redfin.com/CA/San-Diego/8025-Entrada-De-Luz-E-92127/home/7463923,SDMLS,220023485,N,Y,32.9893356,-117.1409518
MLS Listing,,Single Family Residential,7911 El Paseo Grande,La Jolla,CA,92037,4750000,5,5.5,La Jolla,3624,,2002,1,1311,,Active,,,https://www.redfin.com/CA/La-Jolla/7911-El-Paseo-Grande-92037/home/4878125,SDMLS,220023477,N,Y,32.8517548,-117.2557851
MLS Listing,,Single Family Residential,15992 Sarah Ridge Ct,San Diego,CA,92127,2599000,5,4.5,Rancho Bernardo,3894,12175,2018,1,667,181,Active,September-17-2022 11:00 AM,September-17-2022 05:00 PM,https://www.redfin.com/CA/San-Diego/15992-Sarah-Ridge-Ct-92129/home/144493626,SDMLS,220023474,N,Y,32.9926566,-117.101771
MLS Listing,,Single Family Residential,1011 Muirlands Vista Way,La Jolla,CA,92037,10471000,6,7.5,La Jolla,6140,16553,2022,1,1705,,Active,,,https://www.redfin.com/CA/La-Jolla/1011-Muirlands-Vista-Way-92037/home/4919788,SDMLS,220023452,N,Y,32.8275959,-117.2670375
MLS Listing,,Single Family Residential,10213 Cassia Glen Dr,San Diego,CA,92127,2234700,4,4.5,92115 - San Diego,3675,6377,2006,2,608,90,Active,,,https://www.redfin.com/CA/San-Diego/10213-Cassia-Glen-Dr-92127/home/7523100,CRMLS,SW22200148,N,Y,33.0281725,-117.1173293
MLS Listing,,Single Family Residential,8956 Cliffridge Ave,La Jolla,CA,92037,2349000,3,2.0,La Jolla,2200,8000,1959,2,1068,,Active,,,https://www.redfin.com/CA/La-Jolla/8956-Cliffridge-Ave-92037/home/4864649,SDMLS,220023434,N,Y,32.869304,-117.2422125
MLS Listing,,Single Family Residential,5447 Westknoll Dr,La Jolla,CA,92037,2748300,5,3.5,La Jolla,2658,10300,1972,2,1034,,Pre On-Market,,,https://www.redfin.com/CA/La-Jolla/5447-Westknoll-Dr-92037/home/4942849,SDMLS,220023426,N,Y,32.8165552,-117.2451292
MLS Listing,,Single Family Residential,6185 Henderson Dr,La Mesa,CA,91942,839000,3,2.0,91942 - La Mesa,1709,9147,1956,2,491,,Active,September-17-2022 12:00 PM,September-17-2022 03:00 PM,https://www.redfin.com/CA/La-Mesa/6185-Henderson-Dr-91942/home/5586466,CRMLS,PTP2206076,N,Y,32.7904175,-116.991636
MLS Listing,,Single Family Residential,7403 La Mantanza,San Diego,CA,92127,2650000,4,3.5,92127 - Rancho Bernardo,4261,12375,2003,2,622,320,Active,,,https://www.redfin.com/CA/San-Diego/7403-La-Mantanza-92127/home/6583757,CRMLS,SW22197841,N,Y,32.9859229,-117.1663865
MLS Listing,,Single Family Residential,16778 Deer Ridge Rd,San Diego,CA,92127,1700000,6,4.5,Rancho Bernardo,3943,,2002,2,431,90,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/16778-Deer-Ridge-Rd-92127/home/6323367,SDMLS,220023394,N,Y,33.0170106,-117.1165709
MLS Listing,,Single Family Residential,5562 Caminito Genio,La Jolla,CA,92037,2900000,3,2.5,La Jolla,2571,6599,1994,4,1128,395,Active,,,https://www.redfin.com/CA/La-Jolla/5562-Caminito-Genio-92037/home/4945634,SDMLS,220023345,N,Y,32.8164582,-117.2519729
MLS Listing,,Townhouse,9737 Keeneland Row,La Jolla,CA,92037,1599900,3,2.5,La Jolla,2361,12994,1989,5,678,500,Active,,,https://www.redfin.com/CA/La-Jolla/9737-Keeneland-Row-92037/home/6270938,SDMLS,220023323,N,Y,32.8820071,-117.2442321
MLS Listing,,Single Family Residential,17653 Alva Rd,San Diego,CA,92127,1650000,5,3.0,Rancho Bernardo,2842,7412,2010,5,581,90,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/17653-Alva-Rd-92127/home/22390377,SDMLS,220023321,N,Y,33.0359529,-117.1100904
MLS Listing,,Single Family Residential,636 Rushville St,La Jolla,CA,92037,2300000,2,1.5,La Jolla,1198,,1938,5,1920,,Active,,,https://www.redfin.com/CA/La-Jolla/636-Rushville-St-92037/home/4914437,SDMLS,220023310,N,Y,32.8351128,-117.2753815
MLS Listing,,Condo/Co-op,3550 Lebon #6427,San Diego,CA,92122,638000,2,1.0,University City,723,,1987,5,882,330,Active,,,https://www.redfin.com/CA/San-Diego/3550-Lebon-Dr-92122/unit-6427/home/7539780,SDMLS,220023189,N,Y,32.869521,-117.2253086
MLS Listing,,Condo/Co-op,5350 Baltimore Dr #20,La Mesa,CA,91942,489000,2,2.0,91942 - La Mesa,967,,1972,6,506,447,Active,,,https://www.redfin.com/CA/La-Mesa/5350-Baltimore-Dr-91942/unit-20/home/5451653,CRMLS,NDP2209325,N,Y,32.7755938,-117.0286061
MLS Listing,,Single Family Residential,16531 Zumaque,Rancho Santa Fe,CA,92067,4998000,4,4.5,92067 - Rancho Santa Fe,4523,109335,2009,6,1105,1,Active,,,https://www.redfin.com/CA/Rancho-Santa-Fe/16531-Zumaque-St-92067/home/4190970,CRMLS,NDP2209317,N,Y,33.0135633,-117.1768169
MLS Listing,,Single Family Residential,4868 Cypress St,La Mesa,CA,91942,939000,3,2.0,La Mesa,1296,4934,1935,6,725,,Active,,,https://www.redfin.com/CA/La-Mesa/4868-Cypress-St-91942/home/5625299,SDMLS,220023135,N,Y,32.7678787,-117.0167199
MLS Listing,,Townhouse,16169 Veridian Cir,San Diego,CA,92127,1499000,4,3.0,Rancho Bernardo,2542,,2017,6,590,282,Active,,,https://www.redfin.com/CA/San-Diego/16169-Veridian-Cir-92127/home/145320817,SDMLS,220023117,N,Y,33.009789,-117.12426
MLS Listing,,Single Family Residential,4391 Stanford Pl,La Mesa,CA,91942,899000,4,2.5,La Mesa,1691,2852,2015,6,532,154,Active,,,https://www.redfin.com/CA/La-Mesa/4391-Stanford-Pl-91942/home/58184879,SDMLS,220023107,N,Y,32.7590376,-117.043894
MLS Listing,,Single Family Residential,7393 Rancho Cabrillo Trl,San Diego,CA,92127,2000000,4,3.5,Santaluz,3299,12860,2005,6,606,265,Active,,,https://www.redfin.com/CA/San-Diego/7393-Rancho-Cabrillo-Trl-92127/home/6627859,SDMLS,220023086,N,Y,32.9834278,-117.166869
MLS Listing,,Single Family Residential,6089 Avenida Chamnez,La Jolla,CA,92037,3075000,4,3.0,La Jolla,3107,10300,1978,7,990,,Active,,,https://www.redfin.com/CA/La-Jolla/6089-Avenida-Chamnez-92037/home/4934325,SDMLS,220023061,N,Y,32.823603,-117.2626055
MLS Listing,,Condo/Co-op,939 Coast Blvd Unit 3 C,La Jolla,CA,92037,635000,0,1.0,La Jolla,432,36755,1966,7,1470,820,Active,,,https://www.redfin.com/CA/La-Jolla/939-Coast-Blvd-92037/unit-3C/home/6406278,SDMLS,220023052,N,Y,32.8480183,-117.2762916
